y,x1,x2,x3
2049125,485,325,13
2304960,392,280,21
716880,309,8,290
13547716,98,169,818
266789415,731,839,435
41747751,359,177,657
65960125,175,385,979
665914095,987,705,957
4132215,513,9,895
62138916,322,302,639
275549544,886,636,489
111366464,146,968,788
185867328,958,282,688
67721472,192,546,646
9084800,32,340,835
93726720,452,640,324
12845992,214,349,172
10103934,57,526,337
96409634,457,626,337
10296832,104,416,238
31395600,57,900,612
13128318,27,714,681
169541516,652,569,457
239283016,397,658,916
45712600,730,505,124
41623785,387,245,439
292830720,838,728,480
13312728,862,26,594
46841472,876,96,557
163008300,196,853,975
5091708,262,158,123
33401088,63,608,872
45370080,224,643,315
14472338,521,731,38
282979312,484,628,931
396826528,536,772,959
24216240,820,92,321
21518640,660,66,494
114298032,139,888,926
248868490,457,767,710
443872416,872,676,753
394799328,798,937,528
286476528,876,662,494
21313461,31,793,867
20724628,61,541,628
118622203,917,277,467
735870538,977,982,767
153749169,909,511,331
15520388,221,194,362
4741308,307,117,132
56093780,394,230,619
27776606,754,187,197
317560160,404,860,914
19591440,543,410,88
56189952,156,536,672
65228904,307,234,908
1033560,33,108,290
77925088,262,641,464
240090188,754,331,962
19056492,277,117,588
28807040,874,824,40
5969360,83,124,580
585455816,836,719,974
660262720,845,842,928
44548140,597,533,140
20680596,213,108,899
8900424,104,771,111
90048456,274,918,358
6239988,387,278,58
252540288,803,351,896
107260692,308,671,519
84755506,649,782,167
262615320,996,282,935
26824980,714,442,85
164655288,282,662,882
230602383,891,579,447
174233592,387,676,666
647736129,909,883,807
7991760,134,284,210
320382720,812,411,960
76038750,675,150,751
199183200,600,596,557
22550472,443,404,126
310148997,667,879,529
57571770,537,710,151
161962320,793,920,222
556876936,742,922,814
106524040,556,833,230
1514040,11,155,888
107537760,279,876,440
143690624,239,976,616
308372428,892,377,917
50163120,630,538,148
426915489,883,637,759
31958388,147,396,549
5031180,77,495,132
79239024,774,536,191
9144576,756,36,336
259814100,921,620,455
383165640,827,891,520
120106170,905,909,146
219729036,892,523,471
45503318,67,973,698
3369400,991,34,100
194738068,532,941,389
96365814,582,529,313
733716,178,458,9
170042565,851,385,519
100407780,765,628,209
118508544,672,334,528
216081600,436,826,600
119400750,399,665,450
181720000,826,352,625
11119680,26,594,720
72643392,432,486,346
342405700,364,955,985
696073420,727,977,980
38485772,481,332,241
29769975,765,181,215
19950660,948,69,305
62042000,335,463,400
9106944,448,168,121
1193346,451,9,294
315057600,612,528,975
51304530,787,410,159
138091030,814,185,917
6427120,28,499,460
126067968,976,468,276
48108767,203,269,881
134542905,329,995,411
27578250,119,309,750
3072951,687,7,639
344001696,584,764,771
73689012,446,603,274
671820740,898,947,790
58158400,652,200,446
413619510,790,877,597
175998400,694,634,400
66826800,304,977,225
194145936,321,824,734
62931960,126,884,565
288030320,872,986,335
734400,144,20,255
28330569,801,313,113
8936736,733,24,508
97408220,805,716,169
5700000,190,80,375
198800994,489,818,497
4607820,621,265,28
121482856,638,263,724
23618992,109,232,934
561296082,921,922,661
147445740,655,333,676
101472480,432,566,415
15263352,104,207,709
64838640,236,964,285
7596666,54,319,441
6240528,604,21,492
316605520,721,499,880
112456344,273,604,682
606604944,717,874,968
10224000,284,180,200
341302500,660,525,985
166518000,696,319,750
8714160,819,190,56
27235234,881,58,533
18393452,356,427,121
431487056,616,754,929
16960900,34,550,907
320088020,655,868,563
5509420,580,23,413
64942020,957,377,180
124977144,786,626,254
318405123,841,713,531
9625400,646,149,100
51984000,950,171,320
105470400,400,438,602
244575744,276,896,989
62211331,769,637,127
30476100,60,565,899
211199670,330,801,799
4410480,47,782,120
100116805,463,733,295
74081280,689,480,224
20291040,770,244,108
44629200,805,154,360
51004800,385,720,184
18592770,301,174,355
37590519,191,681,289
200845029,737,399,683
505185018,897,758,743
253757835,659,995,387
1354752,4,896,378
375497744,838,709,632
205478130,454,633,715
7238260,170,61,698
22201992,207,654,164
12946992,116,786,142
68671860,645,172,619
179073024,354,512,988
7297120,59,160,773
23723784,28,927,914
